year,month,central_lat,central_lon,mean_flux,TPM_flux,CO2_flux,CO_flux,CH4_flux
2020,August,-3.75,-51.25,0.0,0.0,0.0,0.0,0.0
2020,August,-3.75,-50.75,0.0,0.0,0.0,0.0,0.0
2020,August,-3.75,-50.25,0.0,0.0,0.0,0.0,0.0
2020,August,-3.75,-49.75,0.0,0.0,0.0,0.0,0.0
2020,August,-3.75,-49.25,0.0,0.0,0.0,0.0,0.0
2020,August,-3.75,-48.75,0.0,0.0,0.0,0.0,0.0
2020,August,-3.75,-48.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-71.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-71.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-70.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-70.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-69.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-69.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-68.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-68.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-67.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-67.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-66.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-66.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-65.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-65.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-64.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-64.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-63.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-63.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-62.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-62.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-61.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-61.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-60.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-60.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-59.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.25,-59.25,0.0,0.0,0.0,0.0,0.0
